 	Normal	Sword	Fighting	Flying	Remote	WhiteMagic	BlackMagic	Wood	Metal	Fire	Wind	Water	Enhanced	Transform	Fusion	
Normal	0	0	0	1	1	1	1	2	0	0	0	0	1	0	0	
Sword	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	
Fighting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flying	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	
Remote	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	
WhiteMagic	0	0	2	0	0	1	2	0	0	0	0	0	2	0	0	
BlackMagic	0	0	2	0	0	2	1	0	0	0	0	0	2	0	0	
Wood	0	1	0	0	0	0	0	1	2	0	0	1	0	0	0	
Metal	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	
Fire	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	
Wind	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	
Water	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	
Enhanced	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Transform	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fusion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
